investor_id,age_group,gender,state,city_tier,monthly_sip_amount
INV00161,25-34,Male,Telangana,T30,2055.98
INV00162,25-34,Male,Rajasthan,B30,6597.4
INV00163,25-34,Male,Maharashtra,T30,4214.37
INV00164,35-44,Female,Madhya Pradesh,T30,18219.37
INV00165,25-34,Female,Delhi,T30,19921.17
INV00166,25-34,Male,Maharashtra,B30,5725.86
INV00167,35-44,Male,Gujarat,T30,15513.78
INV00168,35-44,Other,Telangana,T30,16353.58
INV00169,35-44,Male,Delhi,T30,41073.39
INV00170,35-44,Male,Punjab,T30,16198.73
INV00171,25-34,Female,West Bengal,T30,4521.19
INV00172,45-54,Male,West Bengal,B30,50098.58
INV00173,55+,Female,Delhi,B30,5648.34
INV00174,25-34,Male,Punjab,B30,12467.22
INV00175,25-34,Female,Tamil Nadu,T30,7354.97
INV00176,25-34,Other,West Bengal,B30,14990.54
INV00177,35-44,Male,Maharashtra,T30,10182.88
INV00178,45-54,Male,Tamil Nadu,T30,33288.34
INV00179,35-44,Female,Uttar Pradesh,B30,15020.43
INV00180,35-44,Female,Delhi,T30,13166.14
INV00181,45-54,Male,Tamil Nadu,B30,27574.33
INV00182,25-34,Male,Tamil Nadu,T30,1064.7
INV00183,45-54,Female,Gujarat,T30,12627.1
INV00184,18-24,Female,Punjab,T30,5537.15
INV00185,18-24,Female,Punjab,T30,9958.82
INV00186,25-34,Female,West Bengal,B30,3530.03
INV00187,45-54,Male,Gujarat,T30,10571.03
INV00188,45-54,Male,Uttar Pradesh,T30,34394.79
INV00189,25-34,Female,Kerala,T30,7471.49
INV00190,35-44,Female,Uttar Pradesh,B30,29877.97
INV00191,25-34,Female,West Bengal,B30,9534.0
INV00192,25-34,Female,Punjab,T30,7450.53
INV00193,45-54,Female,Maharashtra,T30,6577.07
INV00194,45-54,Male,Tamil Nadu,B30,6252.02
INV00195,18-24,Male,Maharashtra,T30,6091.9
INV00196,25-34,Female,Kerala,T30,7204.85
INV00197,18-24,Female,Gujarat,T30,7174.68
INV00198,35-44,Female,Delhi,T30,26664.27
INV00199,35-44,Male,Kerala,B30,10799.18
INV00200,45-54,Male,Karnataka,T30,5378.69
INV00201,55+,Male,Uttar Pradesh,T30,12447.94
INV00202,35-44,Male,Madhya Pradesh,T30,18403.88
INV00203,45-54,Female,Delhi,T30,12720.49
INV00204,35-44,Male,West Bengal,B30,11267.99
INV00205,18-24,Female,Delhi,T30,3088.59
INV00206,35-44,Female,Karnataka,T30,5618.44
INV00207,45-54,Male,Kerala,B30,14809.55
INV00208,35-44,Other,Kerala,B30,18685.0
INV00209,45-54,Female,Rajasthan,T30,5437.77
INV00210,35-44,Male,Madhya Pradesh,T30,19986.36
INV00211,35-44,Male,Punjab,T30,11376.23
INV00212,55+,Female,Madhya Pradesh,T30,14903.16
INV00213,18-24,Male,Telangana,T30,1886.58
INV00214,35-44,Male,Uttar Pradesh,T30,7633.97
INV00215,45-54,Male,Punjab,T30,5519.44
INV00216,25-34,Male,Rajasthan,T30,9101.75
INV00217,18-24,Female,Madhya Pradesh,T30,12061.14
INV00218,25-34,Male,Delhi,T30,8275.18
INV00219,18-24,Female,Madhya Pradesh,B30,4026.11
INV00220,18-24,Male,Uttar Pradesh,T30,5116.31
INV00221,25-34,Female,Madhya Pradesh,T30,14542.21
INV00222,45-54,Male,Gujarat,T30,11573.96
INV00223,35-44,Female,Maharashtra,T30,7456.22
INV00224,45-54,Female,Uttar Pradesh,T30,13479.62
INV00225,35-44,Male,Kerala,B30,9579.15
INV00226,45-54,Male,Madhya Pradesh,B30,7650.02
INV00227,25-34,Male,Kerala,T30,5058.7
INV00228,18-24,Female,Punjab,T30,8489.36
INV00229,25-34,Male,Madhya Pradesh,T30,5371.13
INV00230,45-54,Male,Tamil Nadu,T30,16855.59
INV00231,25-34,Male,Tamil Nadu,T30,9620.13
INV00232,25-34,Male,Telangana,T30,5664.64
INV00233,25-34,Male,Karnataka,T30,1710.05
INV00234,35-44,Male,Karnataka,B30,4878.26
INV00235,45-54,Male,West Bengal,T30,9566.19
INV00236,35-44,Male,Madhya Pradesh,T30,5398.17
INV00237,35-44,Male,Kerala,B30,9348.46
INV00238,35-44,Male,Maharashtra,T30,12243.46
INV00239,18-24,Other,West Bengal,B30,2669.26
INV00240,25-34,Female,Uttar Pradesh,B30,15426.72
INV00241,35-44,Female,Telangana,B30,13421.51
INV00242,35-44,Male,Maharashtra,T30,8063.96
INV00243,45-54,Male,Punjab,T30,13079.46
INV00244,35-44,Male,Tamil Nadu,T30,23820.59
INV00245,55+,Male,Maharashtra,T30,6947.8
INV00246,35-44,Other,West Bengal,T30,18120.51
INV00247,35-44,Male,Madhya Pradesh,B30,8365.12
INV00248,55+,Other,Maharashtra,T30,8027.66
INV00249,45-54,Female,Kerala,T30,6306.18
INV00250,35-44,Male,West Bengal,B30,16744.33
INV00251,18-24,Male,Telangana,T30,14815.56
INV00252,55+,Male,West Bengal,T30,16571.44
INV00253,18-24,Male,Punjab,T30,1332.84
INV00254,25-34,Female,Gujarat,B30,14620.27
INV00255,18-24,Male,Tamil Nadu,B30,3115.98
INV00256,35-44,Female,Punjab,T30,15987.62
INV00257,35-44,Male,Tamil Nadu,T30,55737.55
INV00258,18-24,Female,Rajasthan,T30,11150.47
INV00259,25-34,Female,Gujarat,T30,6969.14
INV00260,25-34,Female,Maharashtra,T30,14319.46
INV00261,18-24,Male,Delhi,T30,5198.48
INV00262,45-54,Male,Madhya Pradesh,B30,30498.11
INV00263,35-44,Other,Gujarat,B30,24136.83
INV00264,25-34,Female,Maharashtra,T30,7198.9
INV00265,35-44,Male,Punjab,T30,4925.11
INV00266,25-34,Male,Uttar Pradesh,T30,4874.42
INV00267,25-34,Male,West Bengal,B30,16082.88
INV00268,25-34,Male,Tamil Nadu,B30,11225.74
INV00269,45-54,Female,Madhya Pradesh,T30,7212.46
INV00270,25-34,Male,Karnataka,B30,2494.5
INV00271,18-24,Female,Telangana,T30,4765.37
INV00272,35-44,Female,Karnataka,T30,3529.18
INV00273,55+,Male,Rajasthan,B30,50763.74
INV00274,25-34,Male,West Bengal,T30,2297.09
INV00275,55+,Male,Kerala,T30,13311.82
INV00276,18-24,Female,Uttar Pradesh,T30,10491.04
INV00277,18-24,Male,Rajasthan,T30,3978.73
INV00278,55+,Male,Tamil Nadu,T30,9728.85
INV00279,25-34,Male,Punjab,T30,6386.59
INV00280,25-34,Male,West Bengal,B30,5136.64
INV00281,35-44,Female,Punjab,B30,9249.84
INV00282,35-44,Male,Tamil Nadu,T30,33542.46
INV00283,18-24,Male,Delhi,T30,16012.39
INV00284,18-24,Male,Uttar Pradesh,T30,4965.31
INV00285,35-44,Male,Kerala,T30,21007.2
INV00286,25-34,Male,Kerala,B30,7487.73
INV00287,35-44,Male,Delhi,T30,7415.38
INV00288,55+,Female,West Bengal,T30,38755.02
INV00289,35-44,Female,Karnataka,T30,4911.17
INV00290,18-24,Male,West Bengal,T30,893.36
INV00291,35-44,Male,Telangana,T30,3569.07
INV00292,18-24,Female,Tamil Nadu,T30,4891.38
INV00293,45-54,Male,Karnataka,B30,11418.58
INV00294,55+,Male,Maharashtra,T30,9786.12
INV00295,45-54,Female,Karnataka,T30,8344.44
INV00296,55+,Female,Karnataka,B30,19286.91
INV00297,45-54,Female,West Bengal,T30,20627.21
INV00298,25-34,Female,Karnataka,T30,12515.37
INV00299,45-54,Female,Punjab,T30,10241.34
INV00300,35-44,Female,Telangana,B30,13706.93
INV00301,45-54,Female,Gujarat,T30,9113.58
INV00302,18-24,Male,Karnataka,B30,2112.41
INV00303,25-34,Male,Kerala,T30,14665.76
INV00304,55+,Male,Delhi,T30,11821.25
INV00305,18-24,Male,Karnataka,T30,7956.69
INV00306,25-34,Male,West Bengal,B30,10863.88
INV00307,18-24,Male,Karnataka,B30,3527.24
INV00308,25-34,Male,Kerala,T30,10187.58
INV00309,25-34,Male,Telangana,T30,4713.84
INV00310,25-34,Male,Tamil Nadu,T30,9392.56
INV00311,45-54,Male,Delhi,T30,5175.71
INV00312,35-44,Male,Rajasthan,B30,10430.17
INV00313,25-34,Male,Madhya Pradesh,B30,4022.52
INV00314,35-44,Female,Tamil Nadu,T30,7201.27
INV00315,55+,Female,Rajasthan,T30,14814.76
INV00316,45-54,Female,Rajasthan,B30,4416.38
INV00317,25-34,Female,Telangana,T30,9712.66
INV00318,25-34,Female,Gujarat,T30,8715.09
INV00319,25-34,Male,Punjab,B30,15992.48
INV00320,25-34,Female,Kerala,T30,9364.58
INV00321,25-34,Male,Kerala,B30,10929.27
INV00322,25-34,Female,Madhya Pradesh,T30,5790.63
INV00323,45-54,Male,Kerala,B30,7837.92
INV00324,25-34,Female,Kerala,B30,11046.8
INV00325,25-34,Female,Tamil Nadu,T30,11173.43
INV00326,55+,Female,Punjab,T30,9105.62
INV00327,55+,Female,Maharashtra,B30,33355.43
INV00328,25-34,Female,Gujarat,B30,17586.93
INV00329,35-44,Male,Kerala,T30,10486.68
INV00330,55+,Male,Karnataka,T30,15746.28
INV00331,25-34,Female,Tamil Nadu,T30,9252.83
INV00332,25-34,Male,Karnataka,T30,4390.84
INV00333,45-54,Male,Maharashtra,T30,27002.24
INV00334,45-54,Male,Madhya Pradesh,T30,7233.46
INV00335,25-34,Male,Maharashtra,T30,8852.61
INV00336,25-34,Male,Tamil Nadu,B30,6038.59
INV00337,55+,Male,Madhya Pradesh,T30,5917.04
INV00338,25-34,Female,Delhi,T30,7989.36
INV00339,25-34,Female,Tamil Nadu,T30,5992.4
INV00340,18-24,Male,Punjab,T30,3006.49
INV00341,25-34,Male,Uttar Pradesh,T30,4335.9
INV00342,18-24,Female,Punjab,T30,15991.42
INV00343,45-54,Male,Delhi,T30,22811.1
INV00344,35-44,Female,Kerala,T30,12869.26
INV00345,25-34,Male,Madhya Pradesh,T30,6197.03
INV00346,35-44,Male,Karnataka,B30,11598.9
INV00347,25-34,Male,Telangana,B30,9888.92
INV00348,18-24,Male,Rajasthan,T30,6295.01
INV00349,35-44,Male,Punjab,T30,29197.9
INV00350,25-34,Male,West Bengal,T30,3969.84
INV00351,45-54,Male,Tamil Nadu,B30,15407.29
INV00352,45-54,Male,West Bengal,T30,3794.66
INV00353,45-54,Male,West Bengal,T30,38518.04
INV00354,35-44,Female,Karnataka,B30,20662.66
INV00355,25-34,Male,Punjab,B30,7792.07
INV00356,35-44,Male,Delhi,B30,8503.22
INV00357,45-54,Female,Maharashtra,B30,31920.69
INV00358,45-54,Male,Uttar Pradesh,T30,7610.99
INV00359,25-34,Male,Kerala,T30,16484.78
INV00360,18-24,Female,Uttar Pradesh,T30,1320.68
INV00361,35-44,Male,Delhi,T30,15351.29
INV00362,45-54,Male,West Bengal,T30,3929.64
INV00363,25-34,Female,Maharashtra,T30,3544.86
INV00364,45-54,Male,Madhya Pradesh,T30,8565.36
INV00365,25-34,Male,Karnataka,T30,15160.09
INV00366,25-34,Female,Tamil Nadu,T30,7083.36
INV00367,25-34,Male,Gujarat,T30,6825.03
INV00368,25-34,Female,Gujarat,B30,7481.15
INV00369,25-34,Male,Rajasthan,B30,7196.47
INV00370,25-34,Male,Uttar Pradesh,T30,3683.9
INV00371,35-44,Female,Gujarat,T30,15022.9
INV00372,35-44,Female,Karnataka,B30,27097.65
INV00373,25-34,Female,Maharashtra,T30,7291.86
INV00374,25-34,Female,Maharashtra,T30,1413.45
INV00375,45-54,Female,Uttar Pradesh,T30,10677.47
INV00376,25-34,Male,Punjab,T30,3755.65
INV00377,55+,Male,Rajasthan,B30,3381.84
INV00378,45-54,Male,Uttar Pradesh,B30,19667.97
INV00379,35-44,Female,Madhya Pradesh,B30,5609.44
INV00380,55+,Male,West Bengal,T30,3206.28
INV00381,25-34,Male,Karnataka,B30,16672.15
INV00382,25-34,Male,Maharashtra,T30,11456.66
INV00383,18-24,Male,Madhya Pradesh,T30,575.07
INV00384,25-34,Male,Kerala,T30,6071.62
INV00385,18-24,Male,Karnataka,B30,4268.94
INV00386,35-44,Male,Tamil Nadu,B30,8226.24
INV00387,35-44,Male,Delhi,T30,7951.99
INV00388,25-34,Female,Kerala,T30,9725.33
INV00389,25-34,Male,Maharashtra,B30,4264.54
INV00390,25-34,Male,Gujarat,T30,7982.38
INV00391,35-44,Female,Punjab,B30,6648.26
INV00392,25-34,Female,Delhi,T30,8100.93
INV00393,18-24,Female,West Bengal,B30,2968.74
INV00394,25-34,Male,Delhi,B30,13684.43
INV00395,35-44,Female,Kerala,B30,5265.25
INV00396,35-44,Female,West Bengal,T30,12129.82
INV00397,35-44,Male,Karnataka,T30,5885.09
INV00398,18-24,Female,Maharashtra,T30,1337.79
INV00399,25-34,Male,Karnataka,T30,6097.37
INV00400,45-54,Male,Punjab,T30,19692.65
INV00401,25-34,Male,Kerala,B30,7691.73
INV00402,25-34,Male,Uttar Pradesh,T30,13962.14
INV00403,25-34,Male,West Bengal,T30,16123.62
INV00404,55+,Female,Karnataka,T30,9520.95
INV00405,45-54,Male,West Bengal,T30,10943.71
INV00406,25-34,Female,Karnataka,T30,17486.93
INV00407,45-54,Male,West Bengal,T30,15464.45
INV00408,18-24,Male,Karnataka,B30,17015.58
INV00409,45-54,Male,Delhi,T30,30796.0
INV00410,35-44,Female,Maharashtra,B30,31092.9
INV00411,25-34,Male,West Bengal,T30,15901.65
INV00412,35-44,Male,Telangana,T30,3203.58
INV00413,25-34,Male,Maharashtra,B30,4745.94
INV00414,45-54,Male,West Bengal,T30,56853.73
INV00415,45-54,Male,Maharashtra,T30,10051.37
INV00416,45-54,Male,Kerala,T30,10628.44
INV00417,25-34,Male,Madhya Pradesh,T30,10527.26
INV00418,35-44,Male,Telangana,T30,14658.66
INV00419,25-34,Female,Rajasthan,T30,6847.76
INV00420,45-54,Male,West Bengal,B30,21880.23
INV00421,45-54,Male,Delhi,B30,7301.2
INV00422,25-34,Male,Telangana,B30,8938.6
INV00423,25-34,Female,Madhya Pradesh,T30,8080.39
INV00424,55+,Male,Uttar Pradesh,T30,24937.38
INV00425,45-54,Female,Telangana,T30,16277.08
INV00426,45-54,Male,Kerala,B30,9317.28
INV00427,45-54,Male,Uttar Pradesh,T30,10647.89
INV00428,25-34,Male,Maharashtra,T30,4881.8
INV00429,25-34,Female,Gujarat,B30,3495.36
INV00430,25-34,Female,Punjab,B30,11826.58
INV00431,35-44,Male,Tamil Nadu,T30,2260.71
INV00432,25-34,Male,Gujarat,T30,12158.02
INV00433,35-44,Male,Tamil Nadu,T30,14345.82
INV00434,25-34,Male,Uttar Pradesh,T30,9139.52
INV00435,35-44,Male,Delhi,T30,5807.83
INV00436,35-44,Female,Telangana,B30,12743.03
INV00437,25-34,Male,Delhi,T30,23400.37
INV00438,35-44,Male,Punjab,T30,39218.31
INV00439,25-34,Male,Gujarat,T30,19417.96
INV00440,45-54,Male,Tamil Nadu,B30,11233.98
INV00441,18-24,Female,Delhi,T30,3011.31
INV00442,18-24,Female,Uttar Pradesh,T30,5810.05
INV00443,45-54,Male,Tamil Nadu,T30,9538.15
INV00444,45-54,Female,Karnataka,T30,19604.83
INV00445,25-34,Male,Punjab,T30,8582.04
INV00446,25-34,Male,Kerala,T30,5140.91
INV00447,55+,Female,West Bengal,T30,5295.38
INV00448,45-54,Female,Maharashtra,B30,14479.42
INV00449,55+,Female,West Bengal,T30,16420.07
INV00450,35-44,Male,Gujarat,T30,6340.27
INV00451,25-34,Male,Tamil Nadu,T30,37715.57
INV00452,18-24,Male,Telangana,T30,786.69
INV00453,45-54,Male,Delhi,T30,18453.22
INV00454,25-34,Male,Telangana,B30,13117.29
INV00455,18-24,Male,Punjab,T30,2964.98
INV00456,25-34,Female,Maharashtra,B30,13535.99
INV00457,45-54,Male,West Bengal,T30,8661.24
INV00458,45-54,Male,Madhya Pradesh,T30,11700.8
INV00459,25-34,Female,Maharashtra,B30,14332.72
INV00460,45-54,Female,Madhya Pradesh,B30,18088.78
INV00461,25-34,Male,West Bengal,T30,24107.47
INV00462,45-54,Male,Gujarat,T30,20392.34
INV00463,35-44,Male,Rajasthan,T30,28363.1
INV00464,25-34,Male,Uttar Pradesh,T30,6204.18
INV00465,55+,Female,West Bengal,T30,29670.49
INV00466,35-44,Female,Tamil Nadu,B30,4916.06
INV00467,25-34,Male,Madhya Pradesh,T30,3465.41
INV00468,35-44,Male,Tamil Nadu,B30,13321.28
INV00469,25-34,Female,Rajasthan,T30,5898.53
INV00470,55+,Male,Delhi,T30,12534.26
INV00471,25-34,Male,West Bengal,T30,8780.64
INV00472,25-34,Male,Rajasthan,T30,6008.61
INV00473,25-34,Male,Madhya Pradesh,B30,15910.35
INV00474,45-54,Female,Karnataka,T30,26429.81
INV00475,25-34,Male,Delhi,T30,24580.56
INV00476,18-24,Male,Delhi,T30,7448.43
INV00477,25-34,Male,Madhya Pradesh,T30,9776.09
INV00478,25-34,Male,Telangana,B30,7567.2
INV00479,45-54,Female,Kerala,T30,4347.12
INV00480,45-54,Male,Kerala,T30,15110.96
INV00481,55+,Male,West Bengal,T30,7830.13
INV00482,25-34,Female,Gujarat,T30,10810.06
INV00483,45-54,Male,Telangana,T30,28144.0
INV00484,18-24,Male,Kerala,T30,3266.51
INV00485,45-54,Female,Tamil Nadu,T30,2894.86
INV00486,25-34,Female,Karnataka,T30,6232.98
INV00487,55+,Male,Gujarat,T30,12311.88
INV00488,45-54,Female,Gujarat,B30,26106.49
INV00489,18-24,Female,Rajasthan,T30,10465.74
INV00490,18-24,Female,Telangana,T30,14364.64
INV00491,35-44,Male,Maharashtra,T30,11921.99
INV00492,55+,Male,Tamil Nadu,B30,8218.95
INV00493,18-24,Male,Telangana,T30,3488.47
INV00494,45-54,Male,Delhi,T30,17500.95
INV00495,45-54,Female,Gujarat,T30,6712.12
INV00496,18-24,Male,Punjab,T30,14417.82
INV00497,35-44,Other,Karnataka,B30,10596.9
INV00498,25-34,Other,Telangana,T30,10763.7
INV00499,25-34,Female,Punjab,T30,11198.31
INV00500,35-44,Male,Rajasthan,T30,2838.73
INV00501,35-44,Male,Kerala,T30,7837.41
INV00502,25-34,Male,Punjab,T30,3000.51
INV00503,55+,Male,Karnataka,T30,7724.3
INV00504,35-44,Male,Karnataka,B30,8134.71
INV00505,35-44,Female,Punjab,T30,6407.62
INV00506,25-34,Male,Kerala,B30,7915.72
INV00507,35-44,Male,Uttar Pradesh,T30,14331.54
INV00508,45-54,Female,Uttar Pradesh,T30,9714.19
INV00509,45-54,Female,Telangana,T30,9806.58
INV00510,25-34,Female,Rajasthan,T30,6957.87
INV00511,25-34,Male,Madhya Pradesh,T30,15012.24
INV00512,35-44,Male,Rajasthan,T30,2902.25
INV00513,45-54,Male,Telangana,T30,19232.07
INV00514,25-34,Male,Gujarat,T30,9747.69
INV00515,55+,Male,West Bengal,T30,24085.88
INV00516,45-54,Male,Uttar Pradesh,B30,80791.69
INV00517,55+,Male,Punjab,T30,4957.96
INV00518,25-34,Female,Kerala,T30,7774.47
INV00519,55+,Male,West Bengal,T30,10052.15
INV00520,25-34,Female,Punjab,B30,15740.68
INV00521,25-34,Female,Rajasthan,T30,3159.82
INV00522,25-34,Male,Telangana,T30,5164.47
INV00523,45-54,Male,Madhya Pradesh,B30,13911.54
INV00524,45-54,Male,Kerala,B30,13233.07
INV00525,25-34,Female,Uttar Pradesh,T30,3758.47
