date,category,net_inflow_crore,year,year_month,financial_year
2023-01-01,ELSS,3694.84,2023,2023-01,FY23
2023-02-01,ELSS,3882.24,2023,2023-02,FY23
2023-03-01,ELSS,3743.2,2023,2023-03,FY23
2023-04-01,ELSS,3809.57,2023,2023-04,FY24
2023-05-01,ELSS,3464.12,2023,2023-05,FY24
2023-06-01,ELSS,3982.33,2023,2023-06,FY24
2023-07-01,ELSS,3694.05,2023,2023-07,FY24
2023-08-01,ELSS,3767.09,2023,2023-08,FY24
2023-09-01,ELSS,4043.74,2023,2023-09,FY24
2023-10-01,ELSS,3865.04,2023,2023-10,FY24
2023-11-01,ELSS,4163.35,2023,2023-11,FY24
2023-12-01,ELSS,4196.92,2023,2023-12,FY24
2024-01-01,ELSS,3593.09,2024,2024-01,FY24
2024-02-01,ELSS,3728.03,2024,2024-02,FY24
2024-03-01,ELSS,3478.18,2024,2024-03,FY24
2024-04-01,ELSS,3473.01,2024,2024-04,FY25
2024-05-01,ELSS,4701.08,2024,2024-05,FY25
2024-06-01,ELSS,4833.91,2024,2024-06,FY25
2024-07-01,ELSS,4368.66,2024,2024-07,FY25
2024-08-01,ELSS,4117.68,2024,2024-08,FY25
2024-09-01,ELSS,3546.3,2024,2024-09,FY25
2024-10-01,ELSS,4394.51,2024,2024-10,FY25
2024-11-01,ELSS,4641.06,2024,2024-11,FY25
2024-12-01,ELSS,4226.69,2024,2024-12,FY25
2025-01-01,ELSS,4332.71,2025,2025-01,FY25
2025-02-01,ELSS,4514.12,2025,2025-02,FY25
2025-03-01,ELSS,4760.91,2025,2025-03,FY25
2025-04-01,ELSS,4665.96,2025,2025-04,FY26
2025-05-01,ELSS,3567.56,2025,2025-05,FY26
2025-06-01,ELSS,4849.24,2025,2025-06,FY26
2025-07-01,ELSS,4193.22,2025,2025-07,FY26
2025-08-01,ELSS,4668.37,2025,2025-08,FY26
2025-09-01,ELSS,5542.58,2025,2025-09,FY26
2025-10-01,ELSS,3780.92,2025,2025-10,FY26
2025-11-01,ELSS,4889.85,2025,2025-11,FY26
2025-12-01,ELSS,4508.64,2025,2025-12,FY26
2022-01-01,Index Fund,4058.2,2022,2022-01,FY22
2022-02-01,Index Fund,3672.72,2022,2022-02,FY22
2022-03-01,Index Fund,4100.93,2022,2022-03,FY22
2022-04-01,Index Fund,4366.72,2022,2022-04,FY23
2022-05-01,Index Fund,4012.04,2022,2022-05,FY23
2022-06-01,Index Fund,3862.09,2022,2022-06,FY23
2022-07-01,Index Fund,4296.99,2022,2022-07,FY23
2022-08-01,Index Fund,4179.59,2022,2022-08,FY23
2022-09-01,Index Fund,4242.75,2022,2022-09,FY23
2022-10-01,Index Fund,3987.25,2022,2022-10,FY23
2022-11-01,Index Fund,3729.02,2022,2022-11,FY23
2022-12-01,Index Fund,4050.27,2022,2022-12,FY23
2023-01-01,Index Fund,3896.01,2023,2023-01,FY23
2023-02-01,Index Fund,3868.78,2023,2023-02,FY23
2023-03-01,Index Fund,3655.47,2023,2023-03,FY23
2023-04-01,Index Fund,4468.18,2023,2023-04,FY24
2023-05-01,Index Fund,4190.47,2023,2023-05,FY24
2023-06-01,Index Fund,3746.19,2023,2023-06,FY24
2023-07-01,Index Fund,3940.79,2023,2023-07,FY24
2023-08-01,Index Fund,3577.99,2023,2023-08,FY24
2023-09-01,Index Fund,3982.45,2023,2023-09,FY24
2023-10-01,Index Fund,3829.13,2023,2023-10,FY24
2023-11-01,Index Fund,4329.73,2023,2023-11,FY24
2023-12-01,Index Fund,4390.82,2023,2023-12,FY24
2024-01-01,Index Fund,4509.5,2024,2024-01,FY24
2024-02-01,Index Fund,4602.69,2024,2024-02,FY24
2024-03-01,Index Fund,3858.02,2024,2024-03,FY24
2024-04-01,Index Fund,4373.16,2024,2024-04,FY25
2024-05-01,Index Fund,4622.81,2024,2024-05,FY25
2024-06-01,Index Fund,5231.54,2024,2024-06,FY25
2024-07-01,Index Fund,4444.23,2024,2024-07,FY25
2024-08-01,Index Fund,5181.26,2024,2024-08,FY25
2024-09-01,Index Fund,4460.87,2024,2024-09,FY25
2024-10-01,Index Fund,4175.41,2024,2024-10,FY25
2024-11-01,Index Fund,5012.06,2024,2024-11,FY25
2024-12-01,Index Fund,5459.74,2024,2024-12,FY25
2025-01-01,Index Fund,5237.95,2025,2025-01,FY25
2025-02-01,Index Fund,4969.36,2025,2025-02,FY25
2025-03-01,Index Fund,4793.08,2025,2025-03,FY25
2025-04-01,Index Fund,4428.76,2025,2025-04,FY26
2025-05-01,Index Fund,4743.34,2025,2025-05,FY26
2025-06-01,Index Fund,5229.97,2025,2025-06,FY26
2025-07-01,Index Fund,4293.51,2025,2025-07,FY26
2025-08-01,Index Fund,5315.62,2025,2025-08,FY26
2025-09-01,Index Fund,4189.13,2025,2025-09,FY26
2025-10-01,Index Fund,4085.28,2025,2025-10,FY26
2025-11-01,Index Fund,5796.44,2025,2025-11,FY26
2025-12-01,Index Fund,4486.84,2025,2025-12,FY26
2022-01-01,Sectoral Fund,1601.64,2022,2022-01,FY22
2022-02-01,Sectoral Fund,1343.82,2022,2022-02,FY22
2022-03-01,Sectoral Fund,2133.91,2022,2022-03,FY22
2022-04-01,Sectoral Fund,1466.85,2022,2022-04,FY23
2022-05-01,Sectoral Fund,2254.14,2022,2022-05,FY23
2022-06-01,Sectoral Fund,2307.88,2022,2022-06,FY23
2022-07-01,Sectoral Fund,1841.34,2022,2022-07,FY23
2022-08-01,Sectoral Fund,1748.02,2022,2022-08,FY23
2022-09-01,Sectoral Fund,2309.05,2022,2022-09,FY23
2022-10-01,Sectoral Fund,1821.61,2022,2022-10,FY23
2022-11-01,Sectoral Fund,1819.93,2022,2022-11,FY23
2022-12-01,Sectoral Fund,2016.16,2022,2022-12,FY23
2023-01-01,Sectoral Fund,1837.63,2023,2023-01,FY23
2023-02-01,Sectoral Fund,1939.44,2023,2023-02,FY23
2023-03-01,Sectoral Fund,1962.05,2023,2023-03,FY23
2023-04-01,Sectoral Fund,1864.88,2023,2023-04,FY24
2023-05-01,Sectoral Fund,1977.69,2023,2023-05,FY24
2023-06-01,Sectoral Fund,1714.18,2023,2023-06,FY24
2023-07-01,Sectoral Fund,1852.88,2023,2023-07,FY24
2023-08-01,Sectoral Fund,1708.4,2023,2023-08,FY24
2023-09-01,Sectoral Fund,1718.02,2023,2023-09,FY24
2023-10-01,Sectoral Fund,1646.85,2023,2023-10,FY24
2023-11-01,Sectoral Fund,1787.4,2023,2023-11,FY24
2023-12-01,Sectoral Fund,1728.1,2023,2023-12,FY24
2024-01-01,Sectoral Fund,1791.18,2024,2024-01,FY24
2024-02-01,Sectoral Fund,2393.67,2024,2024-02,FY24
2024-03-01,Sectoral Fund,1240.08,2024,2024-03,FY24
2024-04-01,Sectoral Fund,1622.54,2024,2024-04,FY25
2024-05-01,Sectoral Fund,2785.94,2024,2024-05,FY25
2024-06-01,Sectoral Fund,2369.74,2024,2024-06,FY25
2024-07-01,Sectoral Fund,2446.37,2024,2024-07,FY25
2024-08-01,Sectoral Fund,2324.9,2024,2024-08,FY25
2024-09-01,Sectoral Fund,1816.18,2024,2024-09,FY25
2024-10-01,Sectoral Fund,2408.48,2024,2024-10,FY25
2024-11-01,Sectoral Fund,3524.36,2024,2024-11,FY25
2024-12-01,Sectoral Fund,2284.11,2024,2024-12,FY25
2025-01-01,Sectoral Fund,3219.8,2025,2025-01,FY25
2025-02-01,Sectoral Fund,2351.03,2025,2025-02,FY25
2025-03-01,Sectoral Fund,2703.44,2025,2025-03,FY25
2025-04-01,Sectoral Fund,3067.96,2025,2025-04,FY26
2025-05-01,Sectoral Fund,1575.25,2025,2025-05,FY26
2025-06-01,Sectoral Fund,2765.6,2025,2025-06,FY26
2025-07-01,Sectoral Fund,2253.4,2025,2025-07,FY26
2025-08-01,Sectoral Fund,2227.83,2025,2025-08,FY26
2025-09-01,Sectoral Fund,3109.41,2025,2025-09,FY26
2025-10-01,Sectoral Fund,3184.62,2025,2025-10,FY26
2025-11-01,Sectoral Fund,2808.99,2025,2025-11,FY26
2025-12-01,Sectoral Fund,3008.89,2025,2025-12,FY26
2022-01-01,Hybrid Fund,4189.91,2022,2022-01,FY22
2022-02-01,Hybrid Fund,3639.3,2022,2022-02,FY22
2022-03-01,Hybrid Fund,3905.47,2022,2022-03,FY22
2022-04-01,Hybrid Fund,3944.84,2022,2022-04,FY23
2022-05-01,Hybrid Fund,4144.35,2022,2022-05,FY23
2022-06-01,Hybrid Fund,3789.86,2022,2022-06,FY23
2022-07-01,Hybrid Fund,4271.99,2022,2022-07,FY23
2022-08-01,Hybrid Fund,4158.69,2022,2022-08,FY23
2022-09-01,Hybrid Fund,4205.09,2022,2022-09,FY23
2022-10-01,Hybrid Fund,4611.89,2022,2022-10,FY23
2022-11-01,Hybrid Fund,4049.49,2022,2022-11,FY23
2022-12-01,Hybrid Fund,4872.47,2022,2022-12,FY23
2023-01-01,Hybrid Fund,4266.34,2023,2023-01,FY23
2023-02-01,Hybrid Fund,3656.15,2023,2023-02,FY23
2023-03-01,Hybrid Fund,4256.53,2023,2023-03,FY23
2023-04-01,Hybrid Fund,3624.31,2023,2023-04,FY24
2023-05-01,Hybrid Fund,3682.35,2023,2023-05,FY24
2023-06-01,Hybrid Fund,4276.35,2023,2023-06,FY24
2023-07-01,Hybrid Fund,4122.78,2023,2023-07,FY24
2023-08-01,Hybrid Fund,4186.11,2023,2023-08,FY24
2023-09-01,Hybrid Fund,3750.58,2023,2023-09,FY24
2023-10-01,Hybrid Fund,3987.86,2023,2023-10,FY24
2023-11-01,Hybrid Fund,4074.17,2023,2023-11,FY24
2023-12-01,Hybrid Fund,4354.81,2023,2023-12,FY24
2024-01-01,Hybrid Fund,4679.69,2024,2024-01,FY24
2024-02-01,Hybrid Fund,4029.7,2024,2024-02,FY24
2024-03-01,Hybrid Fund,4134.96,2024,2024-03,FY24
2024-04-01,Hybrid Fund,4802.16,2024,2024-04,FY25
2024-05-01,Hybrid Fund,5079.22,2024,2024-05,FY25
2024-06-01,Hybrid Fund,5299.14,2024,2024-06,FY25
2024-07-01,Hybrid Fund,4458.4,2024,2024-07,FY25
2024-08-01,Hybrid Fund,5247.0,2024,2024-08,FY25
2024-09-01,Hybrid Fund,3590.84,2024,2024-09,FY25
2024-10-01,Hybrid Fund,4725.07,2024,2024-10,FY25
2024-11-01,Hybrid Fund,5681.37,2024,2024-11,FY25
2024-12-01,Hybrid Fund,4756.36,2024,2024-12,FY25
2025-01-01,Hybrid Fund,5239.24,2025,2025-01,FY25
2025-02-01,Hybrid Fund,4492.68,2025,2025-02,FY25
2025-03-01,Hybrid Fund,4870.12,2025,2025-03,FY25
2025-04-01,Hybrid Fund,5036.55,2025,2025-04,FY26
2025-05-01,Hybrid Fund,4309.33,2025,2025-05,FY26
2025-06-01,Hybrid Fund,4308.99,2025,2025-06,FY26
2025-07-01,Hybrid Fund,4231.87,2025,2025-07,FY26
2025-08-01,Hybrid Fund,4707.21,2025,2025-08,FY26
2025-09-01,Hybrid Fund,5351.0,2025,2025-09,FY26
2025-10-01,Hybrid Fund,4756.82,2025,2025-10,FY26
2025-11-01,Hybrid Fund,5378.57,2025,2025-11,FY26
2025-12-01,Hybrid Fund,5607.2,2025,2025-12,FY26
2022-01-01,Debt Fund,4004.34,2022,2022-01,FY22
2022-02-01,Debt Fund,3157.11,2022,2022-02,FY22
2022-03-01,Debt Fund,3619.55,2022,2022-03,FY22
2022-04-01,Debt Fund,3598.89,2022,2022-04,FY23
2022-05-01,Debt Fund,3901.51,2022,2022-05,FY23
2022-06-01,Debt Fund,4006.84,2022,2022-06,FY23
2022-07-01,Debt Fund,3719.61,2022,2022-07,FY23
2022-08-01,Debt Fund,3947.25,2022,2022-08,FY23
2022-09-01,Debt Fund,3567.54,2022,2022-09,FY23
2022-10-01,Debt Fund,3946.41,2022,2022-10,FY23
2022-11-01,Debt Fund,4048.51,2022,2022-11,FY23
2022-12-01,Debt Fund,3699.86,2022,2022-12,FY23
2023-01-01,Debt Fund,3729.91,2023,2023-01,FY23
2023-02-01,Debt Fund,4056.77,2023,2023-02,FY23
2023-03-01,Debt Fund,3561.25,2023,2023-03,FY23
2023-04-01,Debt Fund,3090.84,2023,2023-04,FY24
2023-05-01,Debt Fund,3978.67,2023,2023-05,FY24
2023-06-01,Debt Fund,4011.62,2023,2023-06,FY24
2023-07-01,Debt Fund,3565.45,2023,2023-07,FY24
2023-08-01,Debt Fund,3550.85,2023,2023-08,FY24
2023-09-01,Debt Fund,3639.29,2023,2023-09,FY24
2023-10-01,Debt Fund,4172.5,2023,2023-10,FY24
2023-11-01,Debt Fund,3368.33,2023,2023-11,FY24
2023-12-01,Debt Fund,3403.05,2023,2023-12,FY24
2024-01-01,Debt Fund,3895.05,2024,2024-01,FY24
2024-02-01,Debt Fund,3685.85,2024,2024-02,FY24
2024-03-01,Debt Fund,3703.12,2024,2024-03,FY24
2024-04-01,Debt Fund,3601.3,2024,2024-04,FY25
2024-05-01,Debt Fund,4107.67,2024,2024-05,FY25
2024-06-01,Debt Fund,4275.28,2024,2024-06,FY25
2024-07-01,Debt Fund,4813.77,2024,2024-07,FY25
2024-08-01,Debt Fund,3962.26,2024,2024-08,FY25
2024-09-01,Debt Fund,3980.68,2024,2024-09,FY25
2024-10-01,Debt Fund,4306.36,2024,2024-10,FY25
2024-11-01,Debt Fund,4140.11,2024,2024-11,FY25
2024-12-01,Debt Fund,4005.5,2024,2024-12,FY25
2025-01-01,Debt Fund,4880.78,2025,2025-01,FY25
2025-02-01,Debt Fund,4265.32,2025,2025-02,FY25
2025-03-01,Debt Fund,4390.79,2025,2025-03,FY25
2025-04-01,Debt Fund,5190.33,2025,2025-04,FY26
2025-05-01,Debt Fund,4069.94,2025,2025-05,FY26
2025-06-01,Debt Fund,3458.8,2025,2025-06,FY26
2025-07-01,Debt Fund,3857.23,2025,2025-07,FY26
2025-08-01,Debt Fund,4876.03,2025,2025-08,FY26
2025-09-01,Debt Fund,5045.43,2025,2025-09,FY26
2025-10-01,Debt Fund,4113.9,2025,2025-10,FY26
2025-11-01,Debt Fund,3828.49,2025,2025-11,FY26
2025-12-01,Debt Fund,4392.98,2025,2025-12,FY26
