transaction_id,investor_id,date,transaction_type,transaction_amount,state,age_group,city_tier,gender,monthly_sip_amount,transaction_count,year,year_month
TXN0000096,INV00024,2022-04-30,Redemption,70011.55,Delhi,25-34,B30,Female,15570.0,1,2022,2022-04
TXN0000097,INV00024,2025-11-19,SIP,15209.5,Delhi,25-34,B30,Female,15570.0,1,2025,2025-11
TXN0000098,INV00024,2025-09-06,Lumpsum,159546.85,Delhi,25-34,B30,Female,15570.0,1,2025,2025-09
TXN0000099,INV00024,2024-01-01,SIP,17334.55,Delhi,25-34,B30,Female,15570.0,1,2024,2024-01
TXN0000100,INV00024,2023-10-07,SIP,15630.69,Delhi,25-34,B30,Female,15570.0,1,2023,2023-10
TXN0000101,INV00024,2022-03-05,SIP,14400.02,Delhi,25-34,B30,Female,15570.0,1,2022,2022-03
TXN0000102,INV00025,2022-04-07,SIP,2398.21,Punjab,35-44,T30,Male,2308.36,1,2022,2022-04
TXN0000103,INV00025,2025-06-08,SIP,2339.93,Punjab,35-44,T30,Male,2308.36,1,2025,2025-06
TXN0000104,INV00025,2024-09-30,SIP,2388.19,Punjab,35-44,T30,Male,2308.36,1,2024,2024-09
TXN0000105,INV00025,2025-09-26,Lumpsum,33541.63,Punjab,35-44,T30,Male,2308.36,1,2025,2025-09
TXN0000106,INV00025,2025-08-22,Lumpsum,31672.95,Punjab,35-44,T30,Male,2308.36,1,2025,2025-08
TXN0000107,INV00025,2025-09-02,SIP,2439.32,Punjab,35-44,T30,Male,2308.36,1,2025,2025-09
TXN0000108,INV00025,2023-09-10,SIP,2154.43,Punjab,35-44,T30,Male,2308.36,1,2023,2023-09
TXN0000109,INV00026,2025-10-12,SIP,15776.07,Delhi,35-44,T30,Male,15744.39,1,2025,2025-10
TXN0000110,INV00026,2024-03-03,Lumpsum,168943.07,Delhi,35-44,T30,Male,15744.39,1,2024,2024-03
TXN0000111,INV00027,2024-04-22,SIP,6677.94,Delhi,45-54,T30,Male,5871.62,1,2024,2024-04
TXN0000112,INV00027,2024-10-15,Redemption,12720.59,Delhi,45-54,T30,Male,5871.62,1,2024,2024-10
TXN0000113,INV00027,2024-07-03,Lumpsum,37792.35,Delhi,45-54,T30,Male,5871.62,1,2024,2024-07
TXN0000114,INV00027,2025-05-13,Lumpsum,79596.04,Delhi,45-54,T30,Male,5871.62,1,2025,2025-05
TXN0000115,INV00028,2025-12-05,Redemption,59509.49,Telangana,35-44,B30,Female,20270.39,1,2025,2025-12
TXN0000116,INV00028,2022-08-19,SIP,20079.68,Telangana,35-44,B30,Female,20270.39,1,2022,2022-08
TXN0000117,INV00029,2023-06-03,SIP,29854.48,Telangana,25-34,T30,Female,26918.55,1,2023,2023-06
TXN0000118,INV00029,2023-04-11,SIP,24911.11,Telangana,25-34,T30,Female,26918.55,1,2023,2023-04
TXN0000119,INV00029,2024-08-24,SIP,30938.84,Telangana,25-34,T30,Female,26918.55,1,2024,2024-08
TXN0000120,INV00029,2022-11-08,SIP,29891.66,Telangana,25-34,T30,Female,26918.55,1,2022,2022-11
TXN0000121,INV00029,2022-03-08,SIP,26877.27,Telangana,25-34,T30,Female,26918.55,1,2022,2022-03
TXN0000122,INV00029,2023-02-19,SIP,30275.27,Telangana,25-34,T30,Female,26918.55,1,2023,2023-02
TXN0000123,INV00029,2025-09-28,SIP,27236.02,Telangana,25-34,T30,Female,26918.55,1,2025,2025-09
TXN0000124,INV00030,2022-11-03,Lumpsum,24194.35,Madhya Pradesh,18-24,B30,Female,3501.67,1,2022,2022-11
TXN0000125,INV00030,2024-02-28,SIP,3637.33,Madhya Pradesh,18-24,B30,Female,3501.67,1,2024,2024-02
TXN0000126,INV00030,2025-10-31,SIP,3463.68,Madhya Pradesh,18-24,B30,Female,3501.67,1,2025,2025-10
TXN0000127,INV00030,2025-09-23,Lumpsum,17671.43,Madhya Pradesh,18-24,B30,Female,3501.67,1,2025,2025-09
TXN0000128,INV00030,2023-03-22,Lumpsum,22163.18,Madhya Pradesh,18-24,B30,Female,3501.67,1,2023,2023-03
TXN0000129,INV00030,2023-04-11,SIP,3947.79,Madhya Pradesh,18-24,B30,Female,3501.67,1,2023,2023-04
TXN0000130,INV00031,2023-04-12,SIP,29921.98,Karnataka,25-34,T30,Female,31131.95,1,2023,2023-04
TXN0000131,INV00031,2025-09-07,Lumpsum,435437.29,Karnataka,25-34,T30,Female,31131.95,1,2025,2025-09
TXN0000132,INV00032,2022-02-07,SIP,4957.99,Tamil Nadu,55+,T30,Male,5095.19,1,2022,2022-02
TXN0000133,INV00032,2025-12-31,SIP,5205.48,Tamil Nadu,55+,T30,Male,5095.19,1,2025,2025-12
TXN0000134,INV00032,2023-03-22,SIP,4970.42,Tamil Nadu,55+,T30,Male,5095.19,1,2023,2023-03
TXN0000135,INV00032,2025-09-03,SIP,5801.27,Tamil Nadu,55+,T30,Male,5095.19,1,2025,2025-09
TXN0000136,INV00033,2024-01-20,Lumpsum,51641.19,Rajasthan,25-34,T30,Female,9316.97,1,2024,2024-01
TXN0000137,INV00033,2024-12-25,SIP,8602.32,Rajasthan,25-34,T30,Female,9316.97,1,2024,2024-12
TXN0000138,INV00033,2023-06-30,SIP,10275.12,Rajasthan,25-34,T30,Female,9316.97,1,2023,2023-06
TXN0000139,INV00033,2022-04-05,SIP,8817.71,Rajasthan,25-34,T30,Female,9316.97,1,2022,2022-04
TXN0000140,INV00033,2025-06-17,SIP,8674.22,Rajasthan,25-34,T30,Female,9316.97,1,2025,2025-06
TXN0000141,INV00033,2025-02-18,SIP,9958.8,Rajasthan,25-34,T30,Female,9316.97,1,2025,2025-02
TXN0000142,INV00033,2025-02-21,SIP,8789.66,Rajasthan,25-34,T30,Female,9316.97,1,2025,2025-02
TXN0000143,INV00034,2023-02-04,Lumpsum,209150.76,Punjab,45-54,T30,Male,22373.6,1,2023,2023-02
TXN0000144,INV00034,2024-04-27,SIP,23450.89,Punjab,45-54,T30,Male,22373.6,1,2024,2024-04
TXN0000145,INV00034,2024-03-27,SIP,20632.93,Punjab,45-54,T30,Male,22373.6,1,2024,2024-03
TXN0000146,INV00034,2025-01-18,Lumpsum,278298.58,Punjab,45-54,T30,Male,22373.6,1,2025,2025-01
TXN0000147,INV00034,2022-08-16,SIP,23981.64,Punjab,45-54,T30,Male,22373.6,1,2022,2022-08
TXN0000148,INV00035,2024-03-17,SIP,32543.81,West Bengal,35-44,T30,Male,28396.89,1,2024,2024-03
TXN0000149,INV00035,2025-02-15,Lumpsum,239446.8,West Bengal,35-44,T30,Male,28396.89,1,2025,2025-02
TXN0000150,INV00035,2022-05-23,SIP,26064.76,West Bengal,35-44,T30,Male,28396.89,1,2022,2022-05
TXN0000151,INV00035,2024-07-19,SIP,31836.63,West Bengal,35-44,T30,Male,28396.89,1,2024,2024-07
TXN0000152,INV00035,2022-07-01,SIP,26536.75,West Bengal,35-44,T30,Male,28396.89,1,2022,2022-07
TXN0000153,INV00035,2024-01-23,SIP,27670.5,West Bengal,35-44,T30,Male,28396.89,1,2024,2024-01
TXN0000154,INV00035,2024-01-30,SIP,26282.76,West Bengal,35-44,T30,Male,28396.89,1,2024,2024-01
TXN0000155,INV00036,2022-01-23,SIP,4018.59,Kerala,25-34,T30,Male,3535.11,1,2022,2022-01
TXN0000156,INV00036,2022-08-18,SIP,3311.85,Kerala,25-34,T30,Male,3535.11,1,2022,2022-08
TXN0000157,INV00036,2024-11-29,SIP,3933.68,Kerala,25-34,T30,Male,3535.11,1,2024,2024-11
TXN0000158,INV00036,2023-02-16,SIP,3459.96,Kerala,25-34,T30,Male,3535.11,1,2023,2023-02
TXN0000159,INV00036,2024-11-18,Lumpsum,50902.07,Kerala,25-34,T30,Male,3535.11,1,2024,2024-11
TXN0000160,INV00037,2024-04-11,SIP,5080.36,Kerala,25-34,T30,Male,4446.77,1,2024,2024-04
TXN0000161,INV00037,2023-11-15,SIP,4489.21,Kerala,25-34,T30,Male,4446.77,1,2023,2023-11
TXN0000162,INV00037,2024-05-11,SIP,4880.87,Kerala,25-34,T30,Male,4446.77,1,2024,2024-05
TXN0000163,INV00038,2024-09-30,SIP,27729.02,Gujarat,25-34,T30,Female,27512.17,1,2024,2024-09
TXN0000164,INV00038,2024-07-05,SIP,29809.25,Gujarat,25-34,T30,Female,27512.17,1,2024,2024-07
TXN0000165,INV00038,2023-06-23,SIP,30017.62,Gujarat,25-34,T30,Female,27512.17,1,2023,2023-06
TXN0000166,INV00038,2022-06-09,SIP,26462.36,Gujarat,25-34,T30,Female,27512.17,1,2022,2022-06
TXN0000167,INV00038,2025-05-04,Redemption,132867.44,Gujarat,25-34,T30,Female,27512.17,1,2025,2025-05
TXN0000168,INV00039,2025-08-01,SIP,6677.2,Kerala,35-44,T30,Female,6111.31,1,2025,2025-08
TXN0000169,INV00039,2022-07-21,SIP,6953.24,Kerala,35-44,T30,Female,6111.31,1,2022,2022-07
TXN0000170,INV00039,2025-08-07,SIP,5945.01,Kerala,35-44,T30,Female,6111.31,1,2025,2025-08
TXN0000171,INV00039,2023-11-17,SIP,6672.97,Kerala,35-44,T30,Female,6111.31,1,2023,2023-11
TXN0000172,INV00039,2023-02-18,SIP,5711.55,Kerala,35-44,T30,Female,6111.31,1,2023,2023-02
TXN0000173,INV00040,2024-08-26,Redemption,24349.56,Kerala,35-44,T30,Male,9848.88,1,2024,2024-08
TXN0000174,INV00040,2025-08-26,SIP,9071.69,Kerala,35-44,T30,Male,9848.88,1,2025,2025-08
TXN0000175,INV00040,2024-04-23,SIP,9521.06,Kerala,35-44,T30,Male,9848.88,1,2024,2024-04
TXN0000176,INV00040,2022-01-04,Lumpsum,53770.94,Kerala,35-44,T30,Male,9848.88,1,2022,2022-01
TXN0000177,INV00041,2025-12-19,SIP,8119.43,Delhi,25-34,T30,Male,7273.39,1,2025,2025-12
TXN0000178,INV00041,2023-09-03,SIP,7386.82,Delhi,25-34,T30,Male,7273.39,1,2023,2023-09
TXN0000179,INV00041,2022-08-27,SIP,8069.12,Delhi,25-34,T30,Male,7273.39,1,2022,2022-08
TXN0000180,INV00042,2025-05-11,SIP,1709.05,Madhya Pradesh,18-24,T30,Male,1576.44,1,2025,2025-05
TXN0000181,INV00042,2024-04-13,SIP,1536.72,Madhya Pradesh,18-24,T30,Male,1576.44,1,2024,2024-04
TXN0000182,INV00043,2025-06-05,SIP,15008.86,Gujarat,18-24,B30,Female,13099.7,1,2025,2025-06
TXN0000183,INV00043,2025-03-16,SIP,11827.59,Gujarat,18-24,B30,Female,13099.7,1,2025,2025-03
TXN0000184,INV00043,2025-08-30,SIP,14612.71,Gujarat,18-24,B30,Female,13099.7,1,2025,2025-08
TXN0000185,INV00043,2023-09-02,SIP,14659.18,Gujarat,18-24,B30,Female,13099.7,1,2023,2023-09
TXN0000186,INV00044,2024-06-24,Lumpsum,151986.39,Madhya Pradesh,35-44,T30,Male,13778.66,1,2024,2024-06
TXN0000187,INV00044,2022-02-21,Lumpsum,108294.27,Madhya Pradesh,35-44,T30,Male,13778.66,1,2022,2022-02
TXN0000188,INV00044,2024-03-29,SIP,15544.12,Madhya Pradesh,35-44,T30,Male,13778.66,1,2024,2024-03
TXN0000189,INV00044,2022-08-20,Lumpsum,68862.05,Madhya Pradesh,35-44,T30,Male,13778.66,1,2022,2022-08
TXN0000190,INV00044,2025-11-23,Lumpsum,107996.36,Madhya Pradesh,35-44,T30,Male,13778.66,1,2025,2025-11
TXN0000191,INV00045,2024-04-23,Lumpsum,60703.91,Telangana,55+,T30,Male,9940.07,1,2024,2024-04
TXN0000192,INV00045,2024-05-26,SIP,9424.57,Telangana,55+,T30,Male,9940.07,1,2024,2024-05
TXN0000193,INV00045,2023-02-24,SIP,9442.26,Telangana,55+,T30,Male,9940.07,1,2023,2023-02
TXN0000194,INV00045,2022-03-10,Redemption,62482.13,Telangana,55+,T30,Male,9940.07,1,2022,2022-03
TXN0000195,INV00045,2023-05-15,Redemption,70484.09,Telangana,55+,T30,Male,9940.07,1,2023,2023-05
TXN0000196,INV00045,2024-12-12,Lumpsum,66302.34,Telangana,55+,T30,Male,9940.07,1,2024,2024-12
TXN0000197,INV00045,2024-10-29,SIP,9409.02,Telangana,55+,T30,Male,9940.07,1,2024,2024-10
TXN0000198,INV00046,2025-08-03,Redemption,27321.94,Maharashtra,35-44,T30,Male,11377.74,1,2025,2025-08
TXN0000199,INV00046,2024-01-28,SIP,12904.67,Maharashtra,35-44,T30,Male,11377.74,1,2024,2024-01
TXN0000200,INV00046,2022-08-20,SIP,12553.06,Maharashtra,35-44,T30,Male,11377.74,1,2022,2022-08
TXN0000201,INV00047,2025-10-17,SIP,11710.38,Telangana,25-34,B30,Male,11645.07,1,2025,2025-10
TXN0000202,INV00047,2025-03-12,Redemption,63197.55,Telangana,25-34,B30,Male,11645.07,1,2025,2025-03
TXN0000203,INV00047,2024-11-15,SIP,11426.34,Telangana,25-34,B30,Male,11645.07,1,2024,2024-11
TXN0000204,INV00047,2022-11-09,SIP,12586.04,Telangana,25-34,B30,Male,11645.07,1,2022,2022-11
TXN0000205,INV00047,2024-03-23,SIP,11152.77,Telangana,25-34,B30,Male,11645.07,1,2024,2024-03
TXN0000206,INV00048,2025-11-21,SIP,5492.01,Gujarat,45-54,B30,Male,5876.28,1,2025,2025-11
TXN0000207,INV00048,2022-06-23,Lumpsum,74979.26,Gujarat,45-54,B30,Male,5876.28,1,2022,2022-06
TXN0000208,INV00048,2025-07-11,SIP,6283.95,Gujarat,45-54,B30,Male,5876.28,1,2025,2025-07
TXN0000209,INV00048,2022-08-05,Redemption,37097.26,Gujarat,45-54,B30,Male,5876.28,1,2022,2022-08
TXN0000210,INV00048,2024-02-07,SIP,5939.1,Gujarat,45-54,B30,Male,5876.28,1,2024,2024-02
TXN0000211,INV00048,2023-02-15,SIP,6061.55,Gujarat,45-54,B30,Male,5876.28,1,2023,2023-02
TXN0000212,INV00048,2022-11-21,Lumpsum,86754.24,Gujarat,45-54,B30,Male,5876.28,1,2022,2022-11
TXN0000213,INV00049,2023-07-04,Lumpsum,306837.73,Tamil Nadu,35-44,T30,Female,25672.45,1,2023,2023-07
TXN0000214,INV00049,2024-07-28,Redemption,171472.48,Tamil Nadu,35-44,T30,Female,25672.45,1,2024,2024-07
TXN0000215,INV00049,2023-11-27,SIP,27063.6,Tamil Nadu,35-44,T30,Female,25672.45,1,2023,2023-11
TXN0000216,INV00049,2023-10-15,SIP,26611.57,Tamil Nadu,35-44,T30,Female,25672.45,1,2023,2023-10
TXN0000217,INV00049,2023-07-07,Redemption,97687.55,Tamil Nadu,35-44,T30,Female,25672.45,1,2023,2023-07
TXN0000218,INV00050,2022-02-25,SIP,6177.79,Delhi,25-34,T30,Female,5578.4,1,2022,2022-02
TXN0000219,INV00050,2025-05-23,Redemption,36214.67,Delhi,25-34,T30,Female,5578.4,1,2025,2025-05
TXN0000220,INV00050,2023-08-29,SIP,5107.5,Delhi,25-34,T30,Female,5578.4,1,2023,2023-08
TXN0000221,INV00050,2023-04-05,SIP,5397.99,Delhi,25-34,T30,Female,5578.4,1,2023,2023-04
TXN0000222,INV00051,2023-02-08,Lumpsum,156963.65,Telangana,45-54,T30,Female,18031.75,1,2023,2023-02
TXN0000223,INV00051,2022-03-07,SIP,20489.0,Telangana,45-54,T30,Female,18031.75,1,2022,2022-03
TXN0000224,INV00052,2025-02-03,Lumpsum,193992.62,Uttar Pradesh,35-44,T30,Male,13077.43,1,2025,2025-02
TXN0000225,INV00052,2022-10-07,SIP,12241.54,Uttar Pradesh,35-44,T30,Male,13077.43,1,2022,2022-10
TXN0000226,INV00053,2022-06-22,Lumpsum,312077.92,Karnataka,35-44,T30,Female,55613.52,1,2022,2022-06
TXN0000227,INV00053,2025-04-16,Redemption,346150.93,Karnataka,35-44,T30,Female,55613.52,1,2025,2025-04
TXN0000228,INV00053,2022-08-06,SIP,58067.94,Karnataka,35-44,T30,Female,55613.52,1,2022,2022-08
TXN0000229,INV00053,2025-01-27,SIP,53871.09,Karnataka,35-44,T30,Female,55613.52,1,2025,2025-01
TXN0000230,INV00053,2025-12-23,Redemption,390167.31,Karnataka,35-44,T30,Female,55613.52,1,2025,2025-12
